icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timeStamp
424455,SMR103  ,United Kingdom,1583040579.0,1583040579,31.9736,42.0224,10965.18,False,218.64,258.19,0.0,,10911.84,2502,False,0,20200301T1629
abeb7c,SWA4029 ,United States,1583040579.0,1583040579,-112.2073,34.1627,5135.88,False,193.44,142.67,-5.2,,5196.84,4416,False,0,20200301T1629
4d00f6,LGL707  ,Luxembourg,1583040579.0,1583040580,4.3438,49.4057,9928.86,False,197.45,259.19,4.55,,9585.96,3504,False,0,20200301T1629
424447,SBI5205 ,United Kingdom,1583040558.0,1583040558,130.7803,50.8829,11277.6,False,237.34,132.89,0.0,,,5205,False,0,20200301T1629
a2e9da,N287VC  ,United States,1583040432.0,1583040432,-74.1719,40.0709,-7.62,False,35.68,227.34,-2.93,,0.0,1200,False,0,20200301T1629
7c77f7,QFA156  ,Australia,1583040579.0,1583040580,144.8469,-37.7178,381.0,False,73.41,351.13,-3.58,,327.66,0213,False,0,20200301T1629
a1ff69,HAL42   ,United States,1583040578.0,1583040580,-125.079,36.21,11269.98,False,273.24,58.94,0.0,,11254.74,3763,False,0,20200301T1629
7c77f5,QFA537  ,Australia,1583040477.0,1583040495,151.1812,-33.9664,,True,74.27,347.6,-3.58,,,1047,False,0,20200301T1629
8832a9,TLM784  ,Thailand,1583040578.0,1583040579,100.577,13.3804,5707.38,False,196.03,161.8,4.88,,6042.66,3312,False,0,20200301T1629
42444c,SVR2446 ,United Kingdom,1583040579.0,1583040580,45.7478,52.9459,10340.34,False,207.8,291.04,0.0,,9906.0,2503,False,0,20200301T1629
a20c44,ENY3915 ,United States,1583040422.0,1583040422,-106.6176,35.0465,,True,3.34,22.5,,,,3113,False,0,20200301T1629
42444b,SVR2456 ,United Kingdom,1583040546.0,1583040552,41.9745,53.7681,10980.42,False,204.79,310.21,0.33,,10568.94,0205,False,0,20200301T1629
a03fff,AAL117  ,United States,1583040579.0,1583040579,-113.1666,35.6303,10972.8,False,192.69,247.89,0.0,,11056.62,7301,False,0,20200301T1629
780116,CSH9422 ,China,,1583040289,,,,False,234.93,94.9,0.33,,,,False,0,20200301T1629
780d4f,HXA2756 ,China,,1583040345,,,,False,184.23,308.31,5.2,,,,False,0,20200301T1629
a299f9,N267LA  ,United States,1583040578.0,1583040578,-118.444,34.2874,510.54,False,32.41,270.0,0.0,,541.02,1200,False,0,20200301T1629
c2b3b9,CFC4192 ,Canada,1583040579.0,1583040579,11.7843,60.2036,10668.0,False,233.46,93.41,0.0,,10073.64,1401,False,0,20200301T1629
424478,AUL145  ,United Kingdom,1583040579.0,1583040579,31.6926,60.0509,6606.54,False,162.72,267.46,-6.5,,6248.4,3121,False,0,20200301T1629
a08f6b,SKW5827 ,United States,1583040579.0,1583040579,-121.3817,36.4205,10363.2,False,205.68,323.65,0.33,,10340.34,7345,False,0,20200301T1629
448444,LOT16M  ,Belgium,1583040579.0,1583040579,-52.8497,45.3736,11277.6,False,300.49,77.84,0.0,,11079.48,,False,0,20200301T1629
780d68,,China,,1583040564,,,,False,182.16,268.71,0.0,,,,False,0,20200301T1629
c0607e,ROU1617 ,Canada,1583040580.0,1583040580,-76.8276,40.2211,11277.6,False,234.56,8.45,0.33,,10965.18,7245,False,0,20200301T1629
42445d,KTK777  ,United Kingdom,1583040579.0,1583040579,-59.6469,45.4175,9753.6,False,218.99,200.78,0.0,,9372.6,0615,False,0,20200301T1629
76cd71,SIA222  ,Singapore,1583040579.0,1583040579,150.0757,-32.9875,6835.14,False,227.4,316.19,5.2,,7208.52,1244,False,0,20200301T1629
76cd77,SIA346  ,Singapore,1583040579.0,1583040579,18.8359,46.5099,12192.0,False,213.88,284.77,0.33,,12092.94,3216,False,0,20200301T1629
424481,SDM6022 ,United Kingdom,1583040579.0,1583040579,30.6152,59.5138,2918.46,False,142.12,302.88,-2.6,,2689.86,1510,False,0,20200301T1629
4d00f1,LGL183  ,Luxembourg,1583040579.0,1583040580,5.2791,49.5281,8442.96,False,179.41,259.59,12.03,,8115.3,3502,False,0,20200301T1629
8832c8,,Thailand,1583040578.0,1583040579,100.6416,14.8686,4427.22,False,173.38,216.19,-8.78,,4678.68,4262,False,0,20200301T1629
76cd6b,SIA286  ,Singapore,1583040578.0,1583040579,151.8474,-26.8581,10972.8,False,255.07,300.55,0.0,,11574.78,0225,False,0,20200301T1629
4d00f4,LGL741  ,Luxembourg,1583040579.0,1583040580,3.9113,49.3624,10462.26,False,199.86,258.72,5.2,,10126.98,3505,False,0,20200301T1629
a22642,ASA517  ,United States,1583040580.0,1583040580,-122.6112,45.8291,10363.2,False,223.96,350.21,0.0,,10035.54,0171,False,0,20200301T1629
424485,,United Kingdom,,1583040300,,,,False,212.11,189.21,0.0,,,,False,0,20200301T1629
4d00f2,LGL3759 ,Luxembourg,1583040579.0,1583040579,3.4691,49.286,11887.2,False,202.19,259.15,0.33,,11597.64,3507,False,0,20200301T1629
